date	hour	nb_streamer	nb_spec
25-Oct-11	3	57	1808
25-Oct-11	4	104	5637
25-Oct-11	5	130	6348
25-Oct-11	6	129	7469
25-Oct-11	7	118	6604
25-Oct-11	8	109	5263
25-Oct-11	9	90	4926
25-Oct-11	10	65	4614
25-Oct-11	11	62	3418
25-Oct-11	12	63	2937
25-Oct-11	13	56	3013
25-Oct-11	14	60	3012
25-Oct-11	15	61	3139
25-Oct-11	16	76	3609
25-Oct-11	17	93	3619
25-Oct-11	18	102	4127
25-Oct-11	19	108	4680
25-Oct-11	20	111	4904
25-Oct-11	21	110	6841
25-Oct-11	22	116	3558
25-Oct-11	23	132	3292
26-Oct-11	0	122	6409
26-Oct-11	1	121	8620
26-Oct-11	2	137	7718
26-Oct-11	3	129	6647
26-Oct-11	4	111	5492
26-Oct-11	5	94	4233
26-Oct-11	6	77	1991
26-Oct-11	7	68	2079
26-Oct-11	8	43	1619
26-Oct-11	9	38	1549
26-Oct-11	10	37	1849
26-Oct-11	11	38	1924
26-Oct-11	12	35	1825
26-Oct-11	13	45	1781
26-Oct-11	14	54	2247
26-Oct-11	15	51	2761
26-Oct-11	16	55	2787
26-Oct-11	17	68	2880
26-Oct-11	18	71	3489
26-Oct-11	19	72	4455
26-Oct-11	20	77	3998
26-Oct-11	21	84	3779
26-Oct-11	22	88	2961
26-Oct-11	23	88	2664
27-Oct-11	0	97	2753
27-Oct-11	1	113	11711
27-Oct-11	2	108	13591
27-Oct-11	3	120	8166
27-Oct-11	4	109	7750
27-Oct-11	5	103	5883
27-Oct-11	6	77	2761
27-Oct-11	7	58	2673
27-Oct-11	8	51	2538
27-Oct-11	9	47	2640
27-Oct-11	10	50	3084
27-Oct-11	11	40	3416
27-Oct-11	12	53	3349
27-Oct-11	13	51	3423
27-Oct-11	14	59	3682
27-Oct-11	15	64	4040
27-Oct-11	16	69	4112
27-Oct-11	17	65	4360
27-Oct-11	18	69	5170
27-Oct-11	19	79	4897
27-Oct-11	20	99	5494
27-Oct-11	21	88	5046
27-Oct-11	22	111	3653
27-Oct-11	23	97	2011
28-Oct-11	0	95	2099
28-Oct-11	1	96	2070
28-Oct-11	2	89	2230
28-Oct-11	3	75	2281
28-Oct-11	4	74	1844
28-Oct-11	5	71	1679
28-Oct-11	6	65	1430
28-Oct-11	7	59	1486
28-Oct-11	8	64	1279
28-Oct-11	9	52	1294
28-Oct-11	10	59	1349
28-Oct-11	11	50	1241
28-Oct-11	12	55	1286
28-Oct-11	13	68	1545
28-Oct-11	14	55	1986
28-Oct-11	15	53	1913
28-Oct-11	16	64	2079
28-Oct-11	17	71	2174
28-Oct-11	18	78	1669
28-Oct-11	19	87	2062
28-Oct-11	20	87	1851
28-Oct-11	21	91	1975
28-Oct-11	22	89	2383
28-Oct-11	23	100	2605
29-Oct-11	0	101	2131
29-Oct-11	1	98	2384
29-Oct-11	2	96	1834
29-Oct-11	3	89	2121
29-Oct-11	4	81	2874
29-Oct-11	5	81	2640
29-Oct-11	6	81	2198
29-Oct-11	7	67	1956
29-Oct-11	8	64	2007
29-Oct-11	9	62	1324
29-Oct-11	10	52	1259
29-Oct-11	11	46	1158
29-Oct-11	12	39	1261
29-Oct-11	13	46	1573
29-Oct-11	14	51	1458
29-Oct-11	15	56	1249
29-Oct-11	16	69	1257
29-Oct-11	17	72	1351
29-Oct-11	18	77	1452
29-Oct-11	19	79	2055
29-Oct-11	20	77	1467
29-Oct-11	21	84	1469
29-Oct-11	22	98	1911
29-Oct-11	23	92	1504
30-Oct-11	0	83	1421
30-Oct-11	1	89	1386
30-Oct-11	2	95	2690
30-Oct-11	3	79	2723
30-Oct-11	4	80	2823
30-Oct-11	5	84	1716
30-Oct-11	6	78	2040
30-Oct-11	7	55	1426
30-Oct-11	8	46	1383
30-Oct-11	9	44	1538
30-Oct-11	10	38	1295
30-Oct-11	11	43	1213
30-Oct-11	12	38	1420
30-Oct-11	13	32	1079
30-Oct-11	14	40	1237
30-Oct-11	15	55	1579
30-Oct-11	16	61	1863
30-Oct-11	17	66	1630
30-Oct-11	18	74	1685
30-Oct-11	19	70	2030
30-Oct-11	20	74	2037
30-Oct-11	21	67	2018
30-Oct-11	22	62	1695
30-Oct-11	23	60	1587
31-Oct-11	0	69	1829
31-Oct-11	1	72	1276
31-Oct-11	2	75	1558
31-Oct-11	3	77	1936
31-Oct-11	4	65	1922
31-Oct-11	5	64	1960
31-Oct-11	6	56	1690
31-Oct-11	7	49	1439
31-Oct-11	8	38	1365
31-Oct-11	9	30	704
31-Oct-11	10	32	727
31-Oct-11	11	29	681
31-Oct-11	12	33	914
31-Oct-11	13	38	963
31-Oct-11	14	38	1263
31-Oct-11	15	38	1353
31-Oct-11	16	39	1429
31-Oct-11	17	50	1313
31-Oct-11	18	60	1700
31-Oct-11	19	65	1735
31-Oct-11	20	73	2573
31-Oct-11	21	73	4364
31-Oct-11	22	72	4342
31-Oct-11	23	68	1810
1-Nov-11	0	63	1826
1-Nov-11	1	64	1586
1-Nov-11	2	71	1664
1-Nov-11	3	66	2031
1-Nov-11	4	55	1451
1-Nov-11	5	44	1163
1-Nov-11	6	41	1076
1-Nov-11	7	36	1067
1-Nov-11	8	28	754
1-Nov-11	9	32	847
1-Nov-11	10	29	740
1-Nov-11	11	26	717
1-Nov-11	12	31	865
1-Nov-11	13	33	1114
1-Nov-11	14	38	1193
1-Nov-11	15	49	1960
1-Nov-11	16	42	1799
3-Nov-11	15	35	812
3-Nov-11	16	43	1223
3-Nov-11	17	44	1237
3-Nov-11	18	56	1084
3-Nov-11	19	60	1264
3-Nov-11	20	69	1510
3-Nov-11	21	69	1527
3-Nov-11	22	76	1934
3-Nov-11	23	81	1725
4-Nov-11	0	88	1511
4-Nov-11	1	74	1366
4-Nov-11	2	61	1582
4-Nov-11	3	57	1641
4-Nov-11	4	67	1851
4-Nov-11	5	59	1632
4-Nov-11	6	52	1412
4-Nov-11	7	37	815
4-Nov-11	8	26	520
4-Nov-11	9	25	470
4-Nov-11	10	20	373
4-Nov-11	11	22	403
4-Nov-11	12	24	405
4-Nov-11	13	30	525
4-Nov-11	14	33	576
4-Nov-11	15	39	793
4-Nov-11	16	41	891
4-Nov-11	17	45	968
4-Nov-11	18	44	831
4-Nov-11	19	43	836
