date	hour	nb_streamer	nb_spec
15-Nov-11	12	45	1605
15-Nov-11	13	44	1718
15-Nov-11	14	55	1873
15-Nov-11	15	69	1907
15-Nov-11	16	76	2059
15-Nov-11	17	80	2849
15-Nov-11	18	87	4096
15-Nov-11	19	111	5357
15-Nov-11	20	112	5650
15-Nov-11	21	119	5795
15-Nov-11	22	128	5331
15-Nov-11	23	131	3984
16-Nov-11	0	120	2937
16-Nov-11	1	109	3692
16-Nov-11	2	101	2964
16-Nov-11	3	109	3022
16-Nov-11	4	94	3471
16-Nov-11	5	94	2010
16-Nov-11	6	95	2045
16-Nov-11	7	88	1795
16-Nov-11	8	76	2183
16-Nov-11	9	64	1304
16-Nov-11	10	57	1408
16-Nov-11	11	54	1544
16-Nov-11	12	58	1835
16-Nov-11	13	50	1641
16-Nov-11	14	43	1792
16-Nov-11	15	48	1931
16-Nov-11	16	61	2671
16-Nov-11	17	80	3310
16-Nov-11	18	83	3377
16-Nov-11	19	94	3747
16-Nov-11	20	116	4396
16-Nov-11	21	124	4947
16-Nov-11	22	131	6451
16-Nov-11	23	126	6554
17-Nov-11	0	127	6119
17-Nov-11	1	129	6082
17-Nov-11	2	119	4313
17-Nov-11	3	117	3414
17-Nov-11	4	120	2944
17-Nov-11	5	110	2544
17-Nov-11	6	99	2220
17-Nov-11	7	72	1348
17-Nov-11	8	65	1398
17-Nov-11	9	60	1549
17-Nov-11	10	47	1463
17-Nov-11	11	38	1405
17-Nov-11	12	40	1221
17-Nov-11	13	46	1532
17-Nov-11	14	55	1606
17-Nov-11	15	64	1803
17-Nov-11	16	85	2082
17-Nov-11	17	83	3025
17-Nov-11	18	79	2986
17-Nov-11	19	91	3195
17-Nov-11	20	100	3366
17-Nov-11	21	121	3654
17-Nov-11	22	120	3740
17-Nov-11	23	103	3579
18-Nov-11	0	116	6706
18-Nov-11	1	118	7228
18-Nov-11	2	120	3470
18-Nov-11	3	111	2245
18-Nov-11	4	110	2592
18-Nov-11	5	105	2588
18-Nov-11	6	96	2631
18-Nov-11	7	75	2572
18-Nov-11	8	68	2488
18-Nov-11	9	56	1551
